year,period,geo_level,state,state_ansi,crop,data_item,domain,domain_category,yield_bu_per_acre,STATE_FIPS,state_abbr,annual_precip_in,growing_season_precip_in,non_growing_season_precip_in,growing_season_share,growing_season_precip_state_percentile,crop_damage_event_count,crop_damage_usd
2022,YEAR,STATE,COLORADO,8.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,121.0,08,CO,54.5,38.14791044776119,16.352089552238805,0.6999616595919484,64.0,12.0,172010.0
2022,YEAR,STATE,DELAWARE,10.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170.0,10,DE,20.35,8.867954545454545,11.482045454545457,0.4357717221353584,76.0,0.0,0.0
2022,YEAR,STATE,FLORIDA,12.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164.0,12,FL,38.43369565217391,22.45402173913044,15.979673913043476,0.5842274951214684,24.0,2.0,500200.0
2022,YEAR,STATE,GEORGIA,13.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,175.0,13,GA,27.452222222222225,19.022626262626265,8.429595959595959,0.6929357524735353,12.0,10.0,3270.0
2022,YEAR,STATE,IDAHO,16.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,216.0,16,ID,56.31953125,30.12484375,26.1946875,0.5348915923372497,48.0,5.0,75500.0
2022,YEAR,STATE,ILLINOIS,17.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,214.0,17,IL,49.57,23.2125,26.3575,0.4682771837805123,48.0,1.0,10000.0
2022,YEAR,STATE,INDIANA,18.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,190.0,18,IN,44.3708,24.5804,19.7904,0.5539769397892308,48.0,3.0,476000.0
2022,YEAR,STATE,IOWA,19.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200.0,19,IA,42.83642857142857,18.19071428571429,24.645714285714284,0.4246552500375181,16.0,57.0,84437500.0
2022,YEAR,STATE,KANSAS,20.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,115.0,20,KS,32.293493975903615,18.74421686746988,13.549277108433737,0.5804332253876345,28.000000000000004,30.0,47653900.0
2022,YEAR,STATE,KENTUCKY,21.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156.0,21,KY,25.47528735632184,18.88448275862069,6.590804597701149,0.741286349177702,28.000000000000004,297.0,508200.0
2022,YEAR,STATE,LOUISIANA,22.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170.0,22,LA,59.29365853658537,29.49256097560976,29.80109756097561,0.4973982328550743,44.0,2.0,40000.0
2022,YEAR,STATE,MARYLAND,24.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.0,24,MD,18.163392857142856,10.979821428571428,7.183571428571429,0.6045027773681365,52.0,2.0,2000.0
2022,YEAR,STATE,MICHIGAN,26.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168.0,26,MI,8.41764705882353,3.4541176470588235,4.963529411764706,0.4103424178895877,52.0,0.0,0.0
2022,YEAR,STATE,MINNESOTA,27.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,195.0,27,MN,45.843,22.886,22.957,0.4992256178696856,28.000000000000004,25.0,36273000.0
2022,YEAR,STATE,MISSISSIPPI,28.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.0,28,MS,44.00333333333333,21.329047619047618,22.674285714285716,0.4847143614661227,24.0,17.0,263000.0
2022,YEAR,STATE,MISSOURI,29.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161.0,29,MO,14.02878787878788,9.557272727272728,4.471515151515152,0.681261475321309,60.0,4.0,11700000.0
2022,YEAR,STATE,MONTANA,30.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112.0,30,MT,41.534838709677416,22.431612903225805,19.10322580645161,0.5400674132869414,36.0,7.0,56100.0
2022,YEAR,STATE,NEBRASKA,31.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.0,31,NE,47.493300000000005,25.0982,22.3951,0.5284576982437522,20.0,74.0,336484000.0
