state,state_abbr,year,scenario,scenario_label,annual_max_tasmax_c,hot_days_30c,hot_days_30c_2020,hot_days_30c_change_from_2020,hot_days_35c,hot_days_35c_2020,hot_days_35c_change_from_2020
Oklahoma,OK,2021,ssp126,Low emissions (SSP126),44.578723371180104,107.56919330636967,62.372670267630134,45.19652303873953,68.846579133486,23.213027715438017,45.633551418047986
Oklahoma,OK,2022,ssp126,Low emissions (SSP126),43.918918586339245,102.07038260901291,62.372670267630134,39.697712341382775,49.899227018206886,23.213027715438017,26.68619930276887
Oklahoma,OK,2023,ssp126,Low emissions (SSP126),45.40054638698623,109.31723557502107,62.372670267630134,46.94456530739094,67.44980500722883,23.213027715438017,44.23677729179081
Oklahoma,OK,2024,ssp126,Low emissions (SSP126),40.84134518738213,109.77367449836014,62.372670267630134,47.40100423073,61.092557392331464,23.213027715438017,37.879529676893455
Oklahoma,OK,2025,ssp126,Low emissions (SSP126),45.591692138284145,114.16502531702595,62.372670267630134,51.79235504939581,86.37845265994858,23.213027715438017,63.165424944510555
Oklahoma,OK,2026,ssp126,Low emissions (SSP126),42.02026345519504,113.40206955666747,62.372670267630134,51.02939928903734,59.60007315245266,23.213027715438017,36.38704543701464
Oklahoma,OK,2027,ssp126,Low emissions (SSP126),43.49262135403438,106.22278963156998,62.372670267630134,43.85011936393984,56.27902536384227,23.213027715438017,33.06599764840426
Oklahoma,OK,2028,ssp126,Low emissions (SSP126),41.50344087356375,74.40330559311205,62.372670267630134,12.030635325481917,37.56158259981178,23.213027715438017,14.348554884373765
Oklahoma,OK,2029,ssp126,Low emissions (SSP126),43.64632397663784,109.00387796046887,62.372670267630134,46.63120769283874,67.75023798062318,23.213027715438017,44.53721026518516
Oklahoma,OK,2030,ssp126,Low emissions (SSP126),43.24452065624614,75.99923818552762,62.372670267630134,13.626567917897479,37.98423526654939,23.213027715438017,14.771207551111374
Oklahoma,OK,2031,ssp126,Low emissions (SSP126),39.58225085946265,84.10224838412113,62.372670267630134,21.729578116490988,25.375004568954594,23.213027715438017,2.1619768535165775
Oklahoma,OK,2032,ssp126,Low emissions (SSP126),44.005611130674325,87.6029304549634,62.372670267630134,25.23026018733326,55.34608135229152,23.213027715438017,32.133053636853504
Oklahoma,OK,2033,ssp126,Low emissions (SSP126),41.54014622462725,82.7276917397659,62.372670267630134,20.35502147213576,38.87024037863274,23.213027715438017,15.657212663194722
Oklahoma,OK,2034,ssp126,Low emissions (SSP126),41.27840185938816,90.93632405928237,62.372670267630134,28.56365379165223,40.063742809643834,23.213027715438017,16.85071509420582
Oklahoma,OK,2035,ssp126,Low emissions (SSP126),38.89545784280214,62.67299530975504,62.372670267630134,0.3003250421249052,20.38157149251808,23.213027715438017,-2.831456222919934
Oklahoma,OK,2036,ssp126,Low emissions (SSP126),38.84982432131274,56.20846477121448,62.372670267630134,-6.16420549641566,14.303303470889407,23.213027715438017,-8.909724244548608
Oklahoma,OK,2037,ssp126,Low emissions (SSP126),44.86455837629246,89.86277051071036,62.372670267630134,27.490100243080224,53.232464645013195,23.213027715438017,30.01943692957518
Oklahoma,OK,2038,ssp126,Low emissions (SSP126),42.25200194892931,82.53326221133848,62.372670267630134,20.160591943708344,43.77787016046244,23.213027715438017,20.564842445024425
Oklahoma,OK,2039,ssp126,Low emissions (SSP126),45.35739162773414,100.88746938301168,62.372670267630134,38.51479911538154,57.92856644298183,23.213027715438017,34.715538727543816
Oklahoma,OK,2040,ssp126,Low emissions (SSP126),42.9861305652989,96.94504863103973,62.372670267630134,34.572378363409584,39.696469962679735,23.213027715438017,16.483442247241722
Oklahoma,OK,2041,ssp126,Low emissions (SSP126),37.10146575570712,76.00654434456163,62.372670267630134,13.633874076931496,15.348470874483668,23.213027715438017,-7.864556840954346
Oklahoma,OK,2042,ssp126,Low emissions (SSP126),43.780933108008256,88.71544933150565,62.372670267630134,26.342779063875522,56.447894531891585,23.213027715438017,33.23486681645357
Oklahoma,OK,2043,ssp126,Low emissions (SSP126),40.34944965828467,83.52139225038628,62.372670267630134,21.14872198275615,31.260432365439012,23.213027715438017,8.047404650000997
Oklahoma,OK,2044,ssp126,Low emissions (SSP126),46.679457500543336,88.644504797211,62.372670267630134,26.271834529580868,61.138681684494145,23.213027715438017,37.92565396905613
Oklahoma,OK,2045,ssp126,Low emissions (SSP126),41.79875450262406,84.20099769101637,62.372670267630134,21.828327423386234,36.33878676576356,23.213027715438017,13.125759050325541
Oklahoma,OK,2046,ssp126,Low emissions (SSP126),44.54559254633796,119.7205833907636,62.372670267630134,57.34791312313346,80.07312105440472,23.213027715438017,56.860093338966706
Oklahoma,OK,2047,ssp126,Low emissions (SSP126),44.11677194362999,101.88104963563667,62.372670267630134,39.50837936800653,63.688796947563134,23.213027715438017,40.47576923212512
Oklahoma,OK,2048,ssp126,Low emissions (SSP126),44.75423055125513,99.27982450507473,62.372670267630134,36.9071542374446,54.00276185486848,23.213027715438017,30.789734139430468
Oklahoma,OK,2049,ssp126,Low emissions (SSP126),44.7429985138312,85.98670093509682,62.372670267630134,23.61403066746668,38.021741773111586,23.213027715438017,14.808714057673573
Oklahoma,OK,2050,ssp126,Low emissions (SSP126),44.29072488910793,106.80417487857994,62.372670267630134,44.4315046109498,70.63339870954279,23.213027715438017,47.42037099410478
Oklahoma,OK,2051,ssp126,Low emissions (SSP126),41.833542164758505,98.49092576260763,62.372670267630134,36.1182554949775,49.4795725085613,23.213027715438017,26.266544793123284
Oklahoma,OK,2052,ssp126,Low emissions (SSP126),43.17613235906474,83.00248349557923,62.372670267630134,20.62981322794909,45.934586223902116,23.213027715438017,22.721558508464103
Oklahoma,OK,2053,ssp126,Low emissions (SSP126),42.26946209988212,109.3277934693755,62.372670267630134,46.95512320174536,58.543467558699334,23.213027715438017,35.330439843261324
